Year,Total Gross,Number of Movies,#1 Movie
2022,7373451042,449,Top Gun: Maverick
2021,4861041470,406,Spider-Man: No Way Home
2020,1426005959,334,Bad Boys for Life
2019,11443939610,792,Avengers: Endgame
2018,11610362001,872,Black Panther
2017,11127252460,742,Star Wars: Episode VIII - The Last Jedi
2016,11373700570,737,Rogue One: A Star Wars Story
2015,11098999414,707,Star Wars: Episode VII - The Force Awakens
2014,10436810102,708,American Sniper
2013,10955270663,686,The Hunger Games: Catching Fire
2012,10959623986,669,The Avengers
2011,10114163687,601,Harry Potter and the Deathly Hallows: Part 2
2010,10212725554,538,Toy Story 3
2009,10821624023,520,Avatar
2008,9698205546,607,The Dark Knight
2007,9690697458,631,Spider-Man 3
2006,9214581891,608,Pirates of the Caribbean: Dead Man's Chest
2005,8804664653,547,Star Wars: Episode III - Revenge of the Sith
2004,9321699162,551,Shrek 2
2003,9057703497,507,The Lord of the Rings: The Return of the King
2002,9206407731,480,Spider-Man
2001,8069737686,354,Harry Potter and the Sorcerer's Stone
2000,7678338298,371,How the Grinch Stole Christmas
1999,7316695805,384,Star Wars: Episode I - The Phantom Menace
1998,6575826665,336,Saving Private Ryan
1997,6671782536,303,Titanic
1996,5706689151,310,Independence Day
1995,5383514218,279,Toy Story
1994,5079166267,254,Forrest Gump
1993,4983242150,258,Jurassic Park
1992,4603908824,234,Aladdin
1991,4313945862,244,Terminator 2: Judgment Day
1990,4527022514,224,Home Alone
1989,4155416160,236,Batman
1988,3565814989,248,Rain Man
1987,3562871847,232,Three Men and a Baby
1986,3200539027,207,Top Gun
1985,3056361529,180,Back to the Future
1984,3347747045,165,Beverly Hills Cop
1983,2652934264,158,Star Wars: Episode VI - Return of the Jedi
1982,2866152072,131,E.T. the Extra-Terrestrial
1981,2281874064,112,Indiana Jones and the Raiders of the Lost Ark
1980,2298989828,115,Star Wars: Episode V - The Empire Strikes Back
1979,1957517364,83,Kramer vs. Kramer
1978,1552339752,55,Grease
1977,1373129789,35,Star Wars: Episode IV - A New Hope
