,State,Area
0,Alabama,52423
1,Alaska,656425
2,Arizona,114006
3,Arkansas,53182
4,California,163707
5,Colorado,104100
6,Connecticut,5544
7,Delaware,1954
8,Florida,65758
9,Georgia,59441
10,Hawaii,10932
11,Idaho,83574
12,Illinois,57918
13,Indiana,36420
14,Iowa,56276
15,Kansas,82282
16,Kentucky,40411
17,Louisiana,51843
18,Maine,35387
19,Maryland,12407
20,Massachusetts,10555
21,Michigan,96810
22,Minnesota,86943
23,Mississippi,48434
24,Missouri,69709
25,Montana,147046
26,Nebraska,77358
27,Nevada,110567
28,New Hampshire,9351
29,New Jersey,8722
30,New Mexico,121593
31,New York,54475
32,North Carolina,53821
33,North Dakota,70704
34,Ohio,44828
35,Oklahoma,69903
36,Oregon,98386
37,Pennsylvania,46058
38,Rhode Island,1545
39,South Carolina,32007
40,South Dakota,77121
41,Tennessee,42146
42,Texas,268601
43,Utah,84904
44,Vermont,9615
45,Virginia,42769
46,Washington,71303
47,West Virginia,24231
48,Wisconsin,65503
49,Wyoming,97818
50,District of Columbia,68
51,Puerto Rico,3515
